secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
59,2026-09-08T04:05:01.702Z,2026-09-08T04:05:01.710Z,1,C,7.732,200,2.950,E0,
60,2026-09-08T04:05:01.753Z,2026-09-08T04:05:01.760Z,1,C,7.382,200,3.001,E0,
61,2026-09-08T04:05:01.803Z,2026-09-08T04:05:01.813Z,1,C,10.414,200,3.051,E0,
62,2026-09-08T04:05:01.853Z,2026-09-08T04:05:01.867Z,1,B,13.956,200,3.101,E0,
63,2026-09-08T04:05:01.903Z,2026-09-08T04:05:01.915Z,1,B,12.627,200,3.151,E0,
64,2026-09-08T04:05:01.953Z,2026-09-08T04:05:01.960Z,1,B,7.711,200,3.201,E0,
65,2026-09-08T04:05:02.003Z,2026-09-08T04:05:02.014Z,1,C,10.894,200,3.251,E0,
66,2026-09-08T04:05:02.053Z,2026-09-08T04:05:02.069Z,1,C,16.574,200,3.301,E0,
67,2026-09-08T04:05:02.102Z,2026-09-08T04:05:02.119Z,1,C,16.443,200,3.351,E0,
68,2026-09-08T04:05:02.152Z,2026-09-08T04:05:02.165Z,1,A,13.068,200,3.400,E0,
69,2026-09-08T04:05:02.203Z,2026-09-08T04:05:02.224Z,1,A,21.374,200,3.451,E0,
70,2026-09-08T04:05:02.253Z,2026-09-08T04:05:02.261Z,1,C,8.803,200,3.501,E0,
71,2026-09-08T04:05:02.303Z,2026-09-08T04:05:02.311Z,1,A,8.697,200,3.551,E0,
72,2026-09-08T04:05:02.352Z,2026-09-08T04:05:02.365Z,1,C,13.003,200,3.600,E0,
73,2026-09-08T04:05:02.402Z,2026-09-08T04:05:02.411Z,1,A,8.906,200,3.651,E0,
74,2026-09-08T04:05:02.452Z,2026-09-08T04:05:02.463Z,1,A,11.059,200,3.700,E0,
75,2026-09-08T04:05:02.502Z,2026-09-08T04:05:02.512Z,1,A,9.828,200,3.750,E0,
76,2026-09-08T04:05:02.552Z,2026-09-08T04:05:02.565Z,1,A,13.297,200,3.800,E0,
77,2026-09-08T04:05:02.603Z,2026-09-08T04:05:02.628Z,1,A,25.544,200,3.851,E0,
78,2026-09-08T04:05:02.653Z,2026-09-08T04:05:02.659Z,1,A,5.706,200,3.901,E0,
79,2026-09-08T04:05:02.702Z,2026-09-08T04:05:02.716Z,1,B,14.030,200,3.951,E0,
80,2026-09-08T04:05:02.753Z,2026-09-08T04:05:02.763Z,1,A,9.973,200,4.001,E0,
81,2026-09-08T04:05:02.802Z,2026-09-08T04:05:02.820Z,1,A,17.874,200,4.051,E0,
82,2026-09-08T04:05:02.852Z,2026-09-08T04:05:02.871Z,1,B,19.395,200,4.100,E0,
83,2026-09-08T04:05:02.902Z,2026-09-08T04:05:02.914Z,1,A,12.335,200,4.150,E0,
84,2026-09-08T04:05:02.952Z,2026-09-08T04:05:02.964Z,1,A,12.394,200,4.200,E0,
85,2026-09-08T04:05:03.002Z,2026-09-08T04:05:03.019Z,1,C,16.744,200,4.250,E0,
86,2026-09-08T04:05:03.052Z,2026-09-08T04:05:03.059Z,1,C,6.544,200,4.301,E0,
87,2026-09-08T04:05:03.102Z,2026-09-08T04:05:03.122Z,1,A,19.672,200,4.351,E0,
88,2026-09-08T04:05:03.153Z,2026-09-08T04:05:03.172Z,1,B,18.907,200,4.401,E0,
89,2026-09-08T04:05:03.202Z,2026-09-08T04:05:03.211Z,1,B,8.922,200,4.451,E0,
