secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
59,2026-09-08T04:05:50.700Z,2026-09-08T04:05:50.712Z,1,A,12.090,200,2.951,E1,
60,2026-09-08T04:05:50.750Z,2026-09-08T04:05:50.765Z,1,C,14.878,200,3.001,E1,
61,2026-09-08T04:05:50.799Z,2026-09-08T04:05:50.810Z,1,C,10.659,200,3.050,E1,
62,2026-09-08T04:05:50.849Z,2026-09-08T04:05:50.858Z,1,B,8.121,200,3.100,E1,
63,2026-09-08T04:05:50.900Z,2026-09-08T04:05:50.906Z,1,C,6.187,200,3.151,E1,
64,2026-09-08T04:05:50.949Z,2026-09-08T04:05:50.959Z,1,B,9.206,200,3.200,E1,
65,2026-09-08T04:05:50.999Z,2026-09-08T04:05:51.006Z,1,C,6.454,200,3.250,E1,
66,2026-09-08T04:05:51.049Z,2026-09-08T04:05:51.060Z,1,B,10.443,200,3.300,E1,
67,2026-09-08T04:05:51.099Z,2026-09-08T04:05:51.112Z,1,B,12.570,200,3.350,E1,
68,2026-09-08T04:05:51.150Z,2026-09-08T04:05:51.161Z,1,C,10.375,200,3.401,E1,
69,2026-09-08T04:05:51.200Z,2026-09-08T04:05:51.218Z,1,C,17.657,200,3.451,E1,
70,2026-09-08T04:05:51.250Z,2026-09-08T04:05:51.259Z,1,A,8.828,200,3.501,E1,
71,2026-09-08T04:05:51.300Z,2026-09-08T04:05:51.308Z,1,A,8.826,200,3.551,E1,
72,2026-09-08T04:05:51.350Z,2026-09-08T04:05:51.369Z,1,A,18.818,200,3.601,E1,
73,2026-09-08T04:05:51.400Z,2026-09-08T04:05:51.415Z,1,A,15.758,200,3.651,E1,
74,2026-09-08T04:05:51.449Z,2026-09-08T04:05:51.467Z,1,A,17.734,200,3.700,E1,
75,2026-09-08T04:05:51.500Z,2026-09-08T04:05:51.510Z,1,B,9.478,200,3.751,E1,
76,2026-09-08T04:05:51.549Z,2026-09-08T04:05:51.559Z,1,A,9.650,200,3.800,E1,
77,2026-09-08T04:05:51.599Z,2026-09-08T04:05:51.611Z,1,A,11.960,200,3.850,E1,
78,2026-09-08T04:05:51.649Z,2026-09-08T04:05:51.664Z,1,C,14.785,200,3.900,E1,
79,2026-09-08T04:05:51.700Z,2026-09-08T04:05:51.707Z,1,C,7.321,200,3.951,E1,
80,2026-09-08T04:05:51.750Z,2026-09-08T04:05:51.768Z,1,B,18.050,200,4.001,E1,
81,2026-09-08T04:05:51.799Z,2026-09-08T04:05:51.805Z,1,B,5.560,200,4.050,E1,
82,2026-09-08T04:05:51.849Z,2026-09-08T04:05:51.863Z,1,B,13.721,200,4.100,E1,
83,2026-09-08T04:05:51.900Z,2026-09-08T04:05:51.913Z,1,A,13.282,200,4.151,E1,
84,2026-09-08T04:05:51.949Z,2026-09-08T04:05:51.959Z,1,B,9.618,200,4.200,E1,
85,2026-09-08T04:05:51.999Z,2026-09-08T04:05:52.012Z,1,A,12.530,200,4.250,E1,
86,2026-09-08T04:05:52.049Z,2026-09-08T04:05:52.062Z,1,A,13.146,200,4.300,E1,
87,2026-09-08T04:05:52.100Z,2026-09-08T04:05:52.111Z,1,A,11.201,200,4.351,E1,
