secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-08T04:06:47.324Z,2026-09-08T04:06:47.331Z,1,B,6.868,200,0.050,E1,
2,2026-09-08T04:06:47.374Z,2026-09-08T04:06:47.379Z,1,C,4.903,200,0.101,E1,
3,2026-09-08T04:06:47.425Z,2026-09-08T04:06:47.435Z,1,B,9.892,200,0.151,E1,
4,2026-09-08T04:06:47.475Z,2026-09-08T04:06:47.491Z,1,B,16.562,200,0.201,E1,
5,2026-09-08T04:06:47.525Z,2026-09-08T04:06:47.539Z,1,A,14.673,200,0.251,E1,
6,2026-09-08T04:06:47.574Z,2026-09-08T04:06:47.593Z,1,B,18.957,200,0.301,E1,
7,2026-09-08T04:06:47.625Z,2026-09-08T04:06:47.629Z,1,B,4.344,200,0.351,E1,
8,2026-09-08T04:06:47.674Z,2026-09-08T04:06:47.694Z,1,A,20.062,200,0.400,E1,
9,2026-09-08T04:06:47.724Z,2026-09-08T04:06:47.742Z,1,C,17.255,200,0.451,E1,
10,2026-09-08T04:06:47.776Z,2026-09-08T04:06:47.787Z,1,C,10.770,200,0.502,E1,
11,2026-09-08T04:06:47.825Z,2026-09-08T04:06:47.846Z,1,B,21.372,200,0.551,E1,
12,2026-09-08T04:06:47.875Z,2026-09-08T04:06:47.891Z,1,C,16.765,200,0.601,E1,
13,2026-09-08T04:06:47.925Z,2026-09-08T04:06:47.936Z,1,A,11.292,200,0.651,E1,
14,2026-09-08T04:06:47.974Z,2026-09-08T04:06:47.989Z,1,C,15.422,200,0.700,E1,
15,2026-09-08T04:06:48.024Z,2026-09-08T04:06:48.043Z,1,C,18.664,200,0.750,E1,
16,2026-09-08T04:06:48.074Z,2026-09-08T04:06:48.089Z,1,B,15.163,200,0.800,E1,
17,2026-09-08T04:06:48.125Z,2026-09-08T04:06:48.134Z,1,C,9.261,200,0.851,E1,
18,2026-09-08T04:06:48.174Z,2026-09-08T04:06:48.179Z,1,B,5.026,200,0.900,E1,
19,2026-09-08T04:06:48.224Z,2026-09-08T04:06:48.229Z,1,B,4.482,200,0.950,E1,
20,2026-09-08T04:06:48.275Z,2026-09-08T04:06:48.281Z,1,B,6.451,200,1.001,E1,
21,2026-09-08T04:06:48.325Z,2026-09-08T04:06:48.335Z,1,A,10.246,200,1.051,E1,
22,2026-09-08T04:06:48.374Z,2026-09-08T04:06:48.386Z,1,B,11.763,200,1.100,E1,
23,2026-09-08T04:06:48.424Z,2026-09-08T04:06:48.434Z,1,A,9.958,200,1.150,E1,
24,2026-09-08T04:06:48.474Z,2026-09-08T04:06:48.479Z,1,A,4.221,200,1.201,E1,
25,2026-09-08T04:06:48.525Z,2026-09-08T04:06:48.542Z,1,A,17.241,200,1.251,E1,
26,2026-09-08T04:06:48.575Z,2026-09-08T04:06:48.590Z,1,A,15.658,200,1.301,E1,
27,2026-09-08T04:06:48.625Z,2026-09-08T04:06:48.635Z,1,C,9.905,200,1.351,E1,
28,2026-09-08T04:06:48.675Z,2026-09-08T04:06:48.685Z,1,C,10.563,200,1.401,E1,
29,2026-09-08T04:06:48.725Z,2026-09-08T04:06:48.734Z,1,C,9.380,200,1.451,E1,
30,2026-09-08T04:06:48.774Z,2026-09-08T04:06:48.779Z,1,C,4.889,200,1.500,E1,
31,2026-09-08T04:06:48.825Z,2026-09-08T04:06:48.841Z,1,B,16.553,200,1.551,E1,
32,2026-09-08T04:06:48.875Z,2026-09-08T04:06:48.885Z,1,C,10.321,200,1.601,E1,
33,2026-09-08T04:06:48.925Z,2026-09-08T04:06:48.946Z,1,A,20.948,200,1.651,E1,
34,2026-09-08T04:06:48.975Z,2026-09-08T04:06:48.981Z,1,C,6.566,200,1.701,E1,
35,2026-09-08T04:06:49.025Z,2026-09-08T04:06:49.043Z,1,B,18.400,200,1.751,E1,
36,2026-09-08T04:06:49.074Z,2026-09-08T04:06:49.094Z,1,A,19.465,200,1.801,E1,
37,2026-09-08T04:06:49.124Z,2026-09-08T04:06:49.132Z,1,A,7.863,200,1.850,E1,
38,2026-09-08T04:06:49.175Z,2026-09-08T04:06:49.183Z,1,A,8.131,200,1.901,E1,
39,2026-09-08T04:06:49.225Z,2026-09-08T04:06:49.242Z,1,B,17.249,200,1.951,E1,
40,2026-09-08T04:06:49.271Z,2026-09-08T04:06:49.280Z,1,C,9.325,200,2.001,E1,
41,2026-09-08T04:06:49.321Z,2026-09-08T04:06:49.331Z,1,C,10.528,200,2.051,E1,
42,2026-09-08T04:06:49.371Z,2026-09-08T04:06:49.391Z,1,A,19.667,200,2.101,E1,
43,2026-09-08T04:06:49.421Z,2026-09-08T04:06:49.439Z,1,C,18.693,200,2.151,E1,
44,2026-09-08T04:06:49.472Z,2026-09-08T04:06:49.484Z,1,B,12.154,200,2.201,E1,
45,2026-09-08T04:06:49.520Z,2026-09-08T04:06:49.535Z,1,B,14.309,200,2.250,E1,
46,2026-09-08T04:06:49.571Z,2026-09-08T04:06:49.578Z,1,B,6.301,200,2.301,E1,
47,2026-09-08T04:06:49.621Z,2026-09-08T04:06:49.645Z,1,A,23.809,200,2.351,E1,
48,2026-09-08T04:06:49.670Z,2026-09-08T04:06:49.684Z,1,B,13.961,200,2.400,E1,
