secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-22T23:33:26.698Z,2026-09-22T23:33:26.926Z,1,0,1000,228.429,200,0.125,E0,
2,2026-09-22T23:33:26.823Z,2026-09-22T23:33:27.121Z,1,0,1001,298.002,200,0.250,E0,
3,2026-09-22T23:33:26.948Z,2026-09-22T23:33:27.322Z,1,0,1002,374.140,200,0.375,E0,
4,2026-09-22T23:33:27.073Z,2026-09-22T23:33:27.522Z,1,0,1003,448.899,200,0.501,E0,
5,2026-09-22T23:33:27.198Z,2026-09-22T23:33:27.723Z,1,0,1004,524.592,200,0.626,E0,
6,2026-09-22T23:33:27.323Z,2026-09-22T23:33:27.924Z,1,0,1005,600.752,200,0.750,E0,
7,2026-09-22T23:33:27.448Z,2026-09-22T23:33:28.124Z,1,0,1006,675.782,200,0.876,E0,
8,2026-09-22T23:33:27.573Z,2026-09-22T23:33:28.325Z,1,0,1007,751.684,200,1.001,E0,
9,2026-09-22T23:33:27.698Z,2026-09-22T23:33:28.525Z,1,0,1008,827.382,200,1.125,E0,
10,2026-09-22T23:33:27.823Z,2026-09-22T23:33:28.726Z,1,0,1009,902.541,200,1.251,E0,
11,2026-09-22T23:33:27.948Z,2026-09-22T23:33:28.927Z,1,0,1000,978.611,200,1.376,E0,
12,2026-09-22T23:33:28.073Z,2026-09-22T23:33:29.128Z,1,0,1001,1054.102,200,1.501,E0,
13,2026-09-22T23:33:28.199Z,2026-09-22T23:33:29.328Z,1,0,1002,1129.489,200,1.626,E0,
14,2026-09-22T23:33:28.323Z,2026-09-22T23:33:29.529Z,1,0,1003,1205.710,200,1.751,E0,
15,2026-09-22T23:33:28.448Z,2026-09-22T23:33:29.729Z,1,0,1004,1281.267,200,1.875,E0,
16,2026-09-22T23:33:28.574Z,2026-09-22T23:33:29.930Z,1,0,1005,1356.381,200,2.001,E0,
17,2026-09-22T23:33:28.698Z,2026-09-22T23:33:30.130Z,1,0,1006,1432.338,200,2.125,E0,
18,2026-09-22T23:33:28.823Z,2026-09-22T23:33:30.335Z,1,0,1007,1512.055,200,2.251,E0,
19,2026-09-22T23:33:28.948Z,2026-09-22T23:33:30.536Z,1,0,1008,1588.419,200,2.375,E0,
20,2026-09-22T23:33:29.074Z,2026-09-22T23:33:30.737Z,1,0,1009,1663.095,200,2.501,E0,
21,2026-09-22T23:33:29.198Z,2026-09-22T23:33:30.938Z,1,0,1000,1739.810,200,2.625,E0,
22,2026-09-22T23:33:29.323Z,2026-09-22T23:33:31.138Z,1,0,1001,1814.779,200,2.751,E0,
23,2026-09-22T23:33:29.448Z,2026-09-22T23:33:31.339Z,1,0,1002,1890.344,200,2.876,E0,
24,2026-09-22T23:33:29.573Z,2026-09-22T23:33:31.540Z,1,0,1003,1966.776,200,3.001,E0,
25,2026-09-22T23:33:29.699Z,2026-09-22T23:33:31.740Z,1,0,1004,2041.290,200,3.126,E0,
26,2026-09-22T23:33:29.824Z,2026-09-22T23:33:31.941Z,1,0,1005,2117.536,200,3.251,E0,
27,2026-09-22T23:33:29.948Z,2026-09-22T23:33:32.142Z,1,0,1006,2193.946,200,3.376,E0,
28,2026-09-22T23:33:30.073Z,2026-09-22T23:33:32.342Z,1,0,1007,2269.529,200,3.500,E0,
29,2026-09-22T23:33:30.198Z,2026-09-22T23:33:32.543Z,1,0,1008,2345.678,200,3.625,E0,
30,2026-09-22T23:33:30.323Z,2026-09-22T23:33:32.744Z,1,0,1009,2420.485,200,3.751,E0,
