secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
1,2026-09-22T23:34:52.269Z,2026-09-22T23:34:52.472Z,1,0,1000,203.286,200,0.126,E2-run1,
2,2026-09-22T23:34:52.394Z,2026-09-22T23:34:52.597Z,1,0,1001,202.912,200,0.251,E2-run1,
3,2026-09-22T23:34:52.519Z,2026-09-22T23:34:52.722Z,1,0,1002,202.253,200,0.376,E2-run1,
4,2026-09-22T23:34:52.644Z,2026-09-22T23:34:52.846Z,1,0,1003,202.153,200,0.501,E2-run1,
5,2026-09-22T23:34:52.769Z,2026-09-22T23:34:52.970Z,1,0,1004,201.136,200,0.626,E2-run1,
6,2026-09-22T23:34:52.894Z,2026-09-22T23:34:53.096Z,1,0,1005,201.930,200,0.751,E2-run1,
7,2026-09-22T23:34:53.018Z,2026-09-22T23:34:53.220Z,1,0,1006,201.982,200,0.875,E2-run1,
8,2026-09-22T23:34:53.144Z,2026-09-22T23:34:53.345Z,1,0,1007,201.152,200,1.001,E2-run1,
9,2026-09-22T23:34:53.269Z,2026-09-22T23:34:53.471Z,1,0,1008,201.959,200,1.126,E2-run1,
10,2026-09-22T23:34:53.393Z,2026-09-22T23:34:53.594Z,1,0,1009,201.163,200,1.250,E2-run1,
11,2026-09-22T23:34:53.519Z,2026-09-22T23:34:53.520Z,1,1,1000,0.960,200,1.376,E2-run1,
12,2026-09-22T23:34:53.644Z,2026-09-22T23:34:53.645Z,1,1,1001,0.856,200,1.501,E2-run1,
13,2026-09-22T23:34:53.769Z,2026-09-22T23:34:53.770Z,1,1,1002,1.022,200,1.626,E2-run1,
14,2026-09-22T23:34:53.894Z,2026-09-22T23:34:53.895Z,1,1,1003,0.879,200,1.751,E2-run1,
15,2026-09-22T23:34:54.019Z,2026-09-22T23:34:54.020Z,1,1,1004,0.999,200,1.876,E2-run1,
16,2026-09-22T23:34:54.144Z,2026-09-22T23:34:54.145Z,1,1,1005,0.884,200,2.001,E2-run1,
17,2026-09-22T23:34:54.269Z,2026-09-22T23:34:54.270Z,1,1,1006,0.817,200,2.126,E2-run1,
18,2026-09-22T23:34:54.393Z,2026-09-22T23:34:54.394Z,1,1,1007,1.040,200,2.250,E2-run1,
19,2026-09-22T23:34:54.519Z,2026-09-22T23:34:54.520Z,1,1,1008,0.908,200,2.376,E2-run1,
20,2026-09-22T23:34:54.643Z,2026-09-22T23:34:54.644Z,1,1,1009,0.938,200,2.500,E2-run1,
21,2026-09-22T23:34:54.769Z,2026-09-22T23:34:54.770Z,1,1,1000,0.995,200,2.626,E2-run1,
22,2026-09-22T23:34:54.894Z,2026-09-22T23:34:54.895Z,1,1,1001,0.875,200,2.751,E2-run1,
23,2026-09-22T23:34:55.018Z,2026-09-22T23:34:55.019Z,1,1,1002,0.910,200,2.875,E2-run1,
24,2026-09-22T23:34:55.144Z,2026-09-22T23:34:55.145Z,1,1,1003,1.033,200,3.001,E2-run1,
25,2026-09-22T23:34:55.269Z,2026-09-22T23:34:55.270Z,1,1,1004,0.982,200,3.126,E2-run1,
26,2026-09-22T23:34:55.394Z,2026-09-22T23:34:55.395Z,1,1,1005,0.909,200,3.251,E2-run1,
27,2026-09-22T23:34:55.519Z,2026-09-22T23:34:55.520Z,1,1,1006,0.982,200,3.376,E2-run1,
28,2026-09-22T23:34:55.643Z,2026-09-22T23:34:55.644Z,1,1,1007,0.877,200,3.500,E2-run1,
29,2026-09-22T23:34:55.769Z,2026-09-22T23:34:55.770Z,1,1,1008,0.983,200,3.626,E2-run1,
30,2026-09-22T23:34:55.894Z,2026-09-22T23:34:55.895Z,1,1,1009,1.070,200,3.751,E2-run1,
31,2026-09-22T23:34:56.019Z,2026-09-22T23:34:56.020Z,1,1,1000,0.925,200,3.876,E2-run1,
32,2026-09-22T23:34:56.144Z,2026-09-22T23:34:56.145Z,1,1,1001,1.037,200,4.001,E2-run1,
33,2026-09-22T23:34:56.269Z,2026-09-22T23:34:56.270Z,1,1,1002,0.993,200,4.125,E2-run1,
34,2026-09-22T23:34:56.394Z,2026-09-22T23:34:56.395Z,1,1,1003,1.047,200,4.251,E2-run1,
35,2026-09-22T23:34:56.518Z,2026-09-22T23:34:56.519Z,1,1,1004,1.036,200,4.375,E2-run1,
36,2026-09-22T23:34:56.644Z,2026-09-22T23:34:56.645Z,1,1,1005,0.883,200,4.501,E2-run1,
37,2026-09-22T23:34:56.769Z,2026-09-22T23:34:56.770Z,1,1,1006,1.073,200,4.626,E2-run1,
38,2026-09-22T23:34:56.894Z,2026-09-22T23:34:56.895Z,1,1,1007,1.128,200,4.751,E2-run1,
39,2026-09-22T23:34:57.018Z,2026-09-22T23:34:57.020Z,1,1,1008,1.123,200,4.875,E2-run1,
40,2026-09-22T23:34:57.144Z,2026-09-22T23:34:57.145Z,1,1,1009,0.931,200,5.001,E2-run1,
41,2026-09-22T23:34:57.268Z,2026-09-22T23:34:57.270Z,1,1,1000,1.189,200,5.125,E2-run1,
42,2026-09-22T23:34:57.394Z,2026-09-22T23:34:57.395Z,1,1,1001,1.118,200,5.251,E2-run1,
43,2026-09-22T23:34:57.518Z,2026-09-22T23:34:57.520Z,1,1,1002,1.277,200,5.375,E2-run1,
44,2026-09-22T23:34:57.644Z,2026-09-22T23:34:57.645Z,1,1,1003,1.155,200,5.501,E2-run1,
45,2026-09-22T23:34:57.769Z,2026-09-22T23:34:57.770Z,1,1,1004,1.330,200,5.625,E2-run1,
46,2026-09-22T23:34:57.894Z,2026-09-22T23:34:57.895Z,1,1,1005,0.960,200,5.751,E2-run1,
47,2026-09-22T23:34:58.019Z,2026-09-22T23:34:58.020Z,1,1,1006,1.038,200,5.876,E2-run1,
48,2026-09-22T23:34:58.144Z,2026-09-22T23:34:58.145Z,1,1,1007,0.918,200,6.001,E2-run1,
49,2026-09-22T23:34:58.269Z,2026-09-22T23:34:58.270Z,1,1,1008,1.239,200,6.126,E2-run1,
50,2026-09-22T23:34:58.393Z,2026-09-22T23:34:58.394Z,1,1,1009,0.986,200,6.250,E2-run1,
51,2026-09-22T23:34:58.519Z,2026-09-22T23:34:58.520Z,1,1,1000,0.973,200,6.376,E2-run1,
52,2026-09-22T23:34:58.644Z,2026-09-22T23:34:58.645Z,1,1,1001,0.983,200,6.501,E2-run1,
53,2026-09-22T23:34:58.769Z,2026-09-22T23:34:58.770Z,1,1,1002,1.053,200,6.626,E2-run1,
54,2026-09-22T23:34:58.894Z,2026-09-22T23:34:58.895Z,1,1,1003,0.928,200,6.751,E2-run1,
55,2026-09-22T23:34:59.019Z,2026-09-22T23:34:59.020Z,1,1,1004,1.232,200,6.876,E2-run1,
56,2026-09-22T23:34:59.143Z,2026-09-22T23:34:59.144Z,1,1,1005,1.041,200,7.000,E2-run1,
57,2026-09-22T23:34:59.269Z,2026-09-22T23:34:59.270Z,1,1,1006,1.270,200,7.126,E2-run1,
58,2026-09-22T23:34:59.394Z,2026-09-22T23:34:59.395Z,1,1,1007,1.066,200,7.251,E2-run1,
59,2026-09-22T23:34:59.519Z,2026-09-22T23:34:59.520Z,1,1,1008,1.157,200,7.376,E2-run1,
60,2026-09-22T23:34:59.644Z,2026-09-22T23:34:59.645Z,1,1,1009,1.121,200,7.501,E2-run1,
61,2026-09-22T23:34:59.768Z,2026-09-22T23:34:59.769Z,1,1,1000,1.062,200,7.625,E2-run1,
62,2026-09-22T23:34:59.894Z,2026-09-22T23:34:59.895Z,1,1,1001,1.221,200,7.751,E2-run1,
63,2026-09-22T23:35:00.019Z,2026-09-22T23:35:00.020Z,1,1,1002,1.153,200,7.875,E2-run1,
64,2026-09-22T23:35:00.144Z,2026-09-22T23:35:00.145Z,1,1,1003,1.051,200,8.001,E2-run1,
65,2026-09-22T23:35:00.269Z,2026-09-22T23:35:00.270Z,1,1,1004,1.037,200,8.126,E2-run1,
66,2026-09-22T23:35:00.393Z,2026-09-22T23:35:00.394Z,1,1,1005,1.100,200,8.250,E2-run1,
67,2026-09-22T23:35:00.519Z,2026-09-22T23:35:00.520Z,1,1,1006,0.981,200,8.376,E2-run1,
68,2026-09-22T23:35:00.643Z,2026-09-22T23:35:00.644Z,1,1,1007,1.037,200,8.500,E2-run1,
69,2026-09-22T23:35:00.769Z,2026-09-22T23:35:00.770Z,1,1,1008,0.998,200,8.626,E2-run1,
70,2026-09-22T23:35:00.894Z,2026-09-22T23:35:00.895Z,1,1,1009,0.922,200,8.751,E2-run1,
71,2026-09-22T23:35:01.019Z,2026-09-22T23:35:01.020Z,1,1,1000,1.048,200,8.875,E2-run1,
72,2026-09-22T23:35:01.144Z,2026-09-22T23:35:01.145Z,1,1,1001,0.921,200,9.001,E2-run1,
73,2026-09-22T23:35:01.269Z,2026-09-22T23:35:01.270Z,1,1,1002,1.016,200,9.126,E2-run1,
74,2026-09-22T23:35:01.393Z,2026-09-22T23:35:01.394Z,1,1,1003,0.977,200,9.250,E2-run1,
75,2026-09-22T23:35:01.518Z,2026-09-22T23:35:01.520Z,1,1,1004,1.131,200,9.375,E2-run1,
76,2026-09-22T23:35:01.644Z,2026-09-22T23:35:01.646Z,1,1,1005,1.402,200,9.501,E2-run1,
77,2026-09-22T23:35:01.769Z,2026-09-22T23:35:01.770Z,1,1,1006,0.977,200,9.626,E2-run1,
78,2026-09-22T23:35:01.893Z,2026-09-22T23:35:01.894Z,1,1,1007,1.020,200,9.750,E2-run1,
79,2026-09-22T23:35:02.019Z,2026-09-22T23:35:02.020Z,1,1,1008,1.236,200,9.876,E2-run1,
80,2026-09-22T23:35:02.144Z,2026-09-22T23:35:02.144Z,1,1,1009,0.921,200,10.000,E2-run1,
81,2026-09-22T23:35:02.269Z,2026-09-22T23:35:02.270Z,1,1,1000,1.079,200,10.126,E2-run1,
82,2026-09-22T23:35:02.393Z,2026-09-22T23:35:02.394Z,1,1,1001,1.023,200,10.250,E2-run1,
83,2026-09-22T23:35:02.519Z,2026-09-22T23:35:02.520Z,1,1,1002,1.109,200,10.376,E2-run1,
84,2026-09-22T23:35:02.643Z,2026-09-22T23:35:02.645Z,1,1,1003,1.111,200,10.500,E2-run1,
85,2026-09-22T23:35:02.769Z,2026-09-22T23:35:02.770Z,1,1,1004,1.034,200,10.626,E2-run1,
86,2026-09-22T23:35:02.894Z,2026-09-22T23:35:02.895Z,1,1,1005,0.955,200,10.750,E2-run1,
87,2026-09-22T23:35:03.019Z,2026-09-22T23:35:03.020Z,1,1,1006,1.242,200,10.876,E2-run1,
88,2026-09-22T23:35:03.144Z,2026-09-22T23:35:03.145Z,1,1,1007,1.033,200,11.001,E2-run1,
89,2026-09-22T23:35:03.269Z,2026-09-22T23:35:03.270Z,1,1,1008,1.298,200,11.126,E2-run1,
90,2026-09-22T23:35:03.394Z,2026-09-22T23:35:03.395Z,1,1,1009,0.988,200,11.251,E2-run1,
91,2026-09-22T23:35:03.519Z,2026-09-22T23:35:03.520Z,1,1,1000,1.035,200,11.376,E2-run1,
92,2026-09-22T23:35:03.644Z,2026-09-22T23:35:03.645Z,1,1,1001,0.891,200,11.501,E2-run1,
93,2026-09-22T23:35:03.768Z,2026-09-22T23:35:03.769Z,1,1,1002,1.138,200,11.625,E2-run1,
94,2026-09-22T23:35:03.894Z,2026-09-22T23:35:03.895Z,1,1,1003,1.074,200,11.751,E2-run1,
95,2026-09-22T23:35:04.018Z,2026-09-22T23:35:04.019Z,1,1,1004,0.808,200,11.875,E2-run1,
96,2026-09-22T23:35:04.144Z,2026-09-22T23:35:04.145Z,1,1,1005,0.748,200,12.001,E2-run1,
97,2026-09-22T23:35:04.269Z,2026-09-22T23:35:04.270Z,1,1,1006,0.962,200,12.126,E2-run1,
98,2026-09-22T23:35:04.394Z,2026-09-22T23:35:04.395Z,1,1,1007,0.932,200,12.250,E2-run1,
99,2026-09-22T23:35:04.519Z,2026-09-22T23:35:04.520Z,1,1,1008,1.119,200,12.376,E2-run1,
100,2026-09-22T23:35:04.643Z,2026-09-22T23:35:04.645Z,1,1,1009,1.477,200,12.500,E2-run1,
101,2026-09-22T23:35:04.770Z,2026-09-22T23:35:04.771Z,1,1,1000,1.001,200,12.626,E2-run1,
102,2026-09-22T23:35:04.894Z,2026-09-22T23:35:04.895Z,1,1,1001,1.117,200,12.751,E2-run1,
103,2026-09-22T23:35:05.019Z,2026-09-22T23:35:05.020Z,1,1,1002,1.057,200,12.876,E2-run1,
104,2026-09-22T23:35:05.144Z,2026-09-22T23:35:05.145Z,1,1,1003,1.066,200,13.001,E2-run1,
105,2026-09-22T23:35:05.269Z,2026-09-22T23:35:05.270Z,1,1,1004,0.949,200,13.126,E2-run1,
106,2026-09-22T23:35:05.394Z,2026-09-22T23:35:05.395Z,1,1,1005,1.152,200,13.251,E2-run1,
107,2026-09-22T23:35:05.519Z,2026-09-22T23:35:05.520Z,1,1,1006,1.069,200,13.376,E2-run1,
108,2026-09-22T23:35:05.644Z,2026-09-22T23:35:05.645Z,1,1,1007,1.079,200,13.501,E2-run1,
109,2026-09-22T23:35:05.769Z,2026-09-22T23:35:05.770Z,1,1,1008,0.919,200,13.626,E2-run1,
110,2026-09-22T23:35:05.893Z,2026-09-22T23:35:05.895Z,1,1,1009,1.128,200,13.750,E2-run1,
111,2026-09-22T23:35:06.019Z,2026-09-22T23:35:06.020Z,1,1,1000,0.865,200,13.876,E2-run1,
112,2026-09-22T23:35:06.144Z,2026-09-22T23:35:06.145Z,1,1,1001,1.050,200,14.001,E2-run1,
113,2026-09-22T23:35:06.269Z,2026-09-22T23:35:06.270Z,1,1,1002,0.992,200,14.126,E2-run1,
114,2026-09-22T23:35:06.393Z,2026-09-22T23:35:06.395Z,1,1,1003,1.158,200,14.250,E2-run1,
115,2026-09-22T23:35:06.519Z,2026-09-22T23:35:06.520Z,1,1,1004,1.022,200,14.376,E2-run1,
116,2026-09-22T23:35:06.643Z,2026-09-22T23:35:06.644Z,1,1,1005,0.952,200,14.500,E2-run1,
117,2026-09-22T23:35:06.769Z,2026-09-22T23:35:06.770Z,1,1,1006,1.118,200,14.626,E2-run1,
118,2026-09-22T23:35:06.894Z,2026-09-22T23:35:06.896Z,1,1,1007,1.279,200,14.751,E2-run1,
119,2026-09-22T23:35:07.019Z,2026-09-22T23:35:07.021Z,1,1,1008,1.328,200,14.876,E2-run1,
120,2026-09-22T23:35:07.144Z,2026-09-22T23:35:07.145Z,1,1,1009,1.174,200,15.001,E2-run1,
121,2026-09-22T23:35:07.269Z,2026-09-22T23:35:07.270Z,1,1,1000,1.149,200,15.126,E2-run1,
122,2026-09-22T23:35:07.394Z,2026-09-22T23:35:07.395Z,1,1,1001,0.983,200,15.251,E2-run1,
123,2026-09-22T23:35:07.519Z,2026-09-22T23:35:07.520Z,1,1,1002,0.998,200,15.376,E2-run1,
124,2026-09-22T23:35:07.644Z,2026-09-22T23:35:07.645Z,1,1,1003,1.073,200,15.501,E2-run1,
125,2026-09-22T23:35:07.760Z,2026-09-22T23:35:07.761Z,1,1,1004,1.018,200,15.625,E2-run1,
126,2026-09-22T23:35:07.885Z,2026-09-22T23:35:07.886Z,1,1,1005,1.253,200,15.751,E2-run1,
