secuencia,timestamp_envio,timestamp_respuesta,exito,desde_cache,id_tarjeta,latencia_ms,codigo_http,segundo_relativo,experimento,error
55,2026-09-22T23:34:20.969Z,2026-09-22T23:34:21.171Z,1,0,1004,202.013,200,6.876,E1,
56,2026-09-22T23:34:21.094Z,2026-09-22T23:34:21.296Z,1,0,1005,201.648,200,7.001,E1,
57,2026-09-22T23:34:21.219Z,2026-09-22T23:34:21.421Z,1,0,1006,201.492,200,7.126,E1,
58,2026-09-22T23:34:21.343Z,2026-09-22T23:34:21.546Z,1,0,1007,202.269,200,7.250,E1,
59,2026-09-22T23:34:21.469Z,2026-09-22T23:34:21.672Z,1,0,1008,202.211,200,7.376,E1,
60,2026-09-22T23:34:21.594Z,2026-09-22T23:34:21.796Z,1,0,1009,202.258,200,7.501,E1,
61,2026-09-22T23:34:21.719Z,2026-09-22T23:34:21.931Z,1,0,1000,211.622,200,7.626,E1,
62,2026-09-22T23:34:21.844Z,2026-09-22T23:34:22.045Z,1,0,1001,201.643,200,7.750,E1,
63,2026-09-22T23:34:21.969Z,2026-09-22T23:34:22.171Z,1,0,1002,201.973,200,7.876,E1,
64,2026-09-22T23:34:22.093Z,2026-09-22T23:34:22.296Z,1,0,1003,202.162,200,8.000,E1,
65,2026-09-22T23:34:22.219Z,2026-09-22T23:34:22.421Z,1,0,1004,202.282,200,8.126,E1,
66,2026-09-22T23:34:22.344Z,2026-09-22T23:34:22.545Z,1,0,1005,201.342,200,8.251,E1,
67,2026-09-22T23:34:22.469Z,2026-09-22T23:34:22.671Z,1,0,1006,202.135,200,8.376,E1,
68,2026-09-22T23:34:22.594Z,2026-09-22T23:34:22.795Z,1,0,1007,201.416,200,8.500,E1,
69,2026-09-22T23:34:22.718Z,2026-09-22T23:34:22.921Z,1,0,1008,202.275,200,8.625,E1,
70,2026-09-22T23:34:22.844Z,2026-09-22T23:34:23.047Z,1,0,1009,202.224,200,8.751,E1,
71,2026-09-22T23:34:22.969Z,2026-09-22T23:34:23.171Z,1,0,1000,201.860,200,8.876,E1,
72,2026-09-22T23:34:23.100Z,2026-09-22T23:34:23.302Z,1,0,1001,201.972,200,9.007,E1,
73,2026-09-22T23:34:23.219Z,2026-09-22T23:34:23.422Z,1,0,1002,202.135,200,9.126,E1,
74,2026-09-22T23:34:23.344Z,2026-09-22T23:34:23.546Z,1,0,1003,201.955,200,9.251,E1,
75,2026-09-22T23:34:23.469Z,2026-09-22T23:34:23.671Z,1,0,1004,201.748,200,9.376,E1,
76,2026-09-22T23:34:23.594Z,2026-09-22T23:34:23.807Z,1,0,1005,212.219,200,9.501,E1,
77,2026-09-22T23:34:23.719Z,2026-09-22T23:34:23.920Z,1,0,1006,201.158,200,9.626,E1,
78,2026-09-22T23:34:23.844Z,2026-09-22T23:34:24.046Z,1,0,1007,202.221,200,9.751,E1,
79,2026-09-22T23:34:23.980Z,2026-09-22T23:34:24.188Z,1,0,1008,207.894,200,9.886,E1,
80,2026-09-22T23:34:24.108Z,2026-09-22T23:34:24.310Z,1,0,1009,201.671,200,10.015,E1,
81,2026-09-22T23:34:24.219Z,2026-09-22T23:34:24.424Z,1,0,1000,204.346,200,10.126,E1,
82,2026-09-22T23:34:24.344Z,2026-09-22T23:34:24.546Z,1,0,1001,201.810,200,10.251,E1,
83,2026-09-22T23:34:24.469Z,2026-09-22T23:34:24.671Z,1,0,1002,201.224,200,10.376,E1,
84,2026-09-22T23:34:24.594Z,2026-09-22T23:34:24.797Z,1,0,1003,202.170,200,10.501,E1,
85,2026-09-22T23:34:24.719Z,2026-09-22T23:34:24.921Z,1,0,1004,202.360,200,10.626,E1,
86,2026-09-22T23:34:24.844Z,2026-09-22T23:34:25.046Z,1,0,1005,201.784,200,10.750,E1,
87,2026-09-22T23:34:24.969Z,2026-09-22T23:34:25.170Z,1,0,1006,201.549,200,10.876,E1,
88,2026-09-22T23:34:25.094Z,2026-09-22T23:34:25.295Z,1,0,1007,201.152,200,11.001,E1,
89,2026-09-22T23:34:25.219Z,2026-09-22T23:34:25.421Z,1,0,1008,201.911,200,11.126,E1,
90,2026-09-22T23:34:25.344Z,2026-09-22T23:34:25.546Z,1,0,1009,201.292,200,11.251,E1,
91,2026-09-22T23:34:25.469Z,2026-09-22T23:34:25.671Z,1,0,1000,202.126,200,11.376,E1,
92,2026-09-22T23:34:25.594Z,2026-09-22T23:34:25.796Z,1,0,1001,201.515,200,11.501,E1,
93,2026-09-22T23:34:25.719Z,2026-09-22T23:34:25.921Z,1,0,1002,201.546,200,11.626,E1,
94,2026-09-22T23:34:25.844Z,2026-09-22T23:34:26.046Z,1,0,1003,202.106,200,11.751,E1,
95,2026-09-22T23:34:25.969Z,2026-09-22T23:34:26.171Z,1,0,1004,201.643,200,11.876,E1,
96,2026-09-22T23:34:26.094Z,2026-09-22T23:34:26.296Z,1,0,1005,201.567,200,12.001,E1,
97,2026-09-22T23:34:26.219Z,2026-09-22T23:34:26.421Z,1,0,1006,201.416,200,12.126,E1,
98,2026-09-22T23:34:26.344Z,2026-09-22T23:34:26.546Z,1,0,1007,202.153,200,12.251,E1,
99,2026-09-22T23:34:26.469Z,2026-09-22T23:34:26.671Z,1,0,1008,202.144,200,12.376,E1,
100,2026-09-22T23:34:26.594Z,2026-09-22T23:34:26.796Z,1,0,1009,202.154,200,12.500,E1,
101,2026-09-22T23:34:26.718Z,2026-09-22T23:34:26.920Z,1,0,1000,201.254,200,12.625,E1,
102,2026-09-22T23:34:26.844Z,2026-09-22T23:34:27.046Z,1,0,1001,201.563,200,12.751,E1,
